iter	MultiClass
0	3.074535591
1	2.985109735
2	2.908724168
3	2.829499515
4	2.746041038
5	2.677255582
6	2.622330318
7	2.571412693
8	2.521021859
9	2.464431141
10	2.393022972
11	2.344695747
12	2.30668921
13	2.265629817
14	2.215588315
15	2.17312606
16	2.131020085
17	2.092391489
18	2.060013137
19	2.033878646
20	1.988583265
21	1.964542054
22	1.932187696
23	1.900696695
24	1.874295122
25	1.853000596
26	1.825456752
27	1.795801156
28	1.766557456
29	1.741105958
30	1.720180728
31	1.694866902
32	1.67340412
33	1.654856386
34	1.631611956
35	1.612142797
36	1.589954231
37	1.56973481
38	1.547288693
39	1.532002028
40	1.51044531
41	1.490352773
42	1.477248778
43	1.459248868
44	1.440692118
45	1.423669533
46	1.408840194
47	1.39409355
48	1.377091687
49	1.360876445
50	1.346163319
51	1.331718479
52	1.318394065
53	1.304447401
54	1.291643341
55	1.278384559
56	1.264287201
57	1.252650239
58	1.240738945
59	1.228439112
60	1.216291687
61	1.202944725
62	1.189183947
63	1.179108707
64	1.165063417
65	1.153264637
66	1.1419198
67	1.130717192
68	1.119237813
69	1.108585192
70	1.096616041
71	1.086262463
72	1.075445386
73	1.064272413
74	1.055075864
75	1.044313812
76	1.033585667
77	1.023149833
78	1.013099917
79	1.004458589
80	0.9950715754
81	0.9862301179
82	0.9765343646
83	0.9672266481
84	0.9573302009
85	0.9492242687
86	0.9400531407
87	0.9314853211
88	0.922261881
89	0.9126120905
90	0.9036044356
91	0.8948226146
92	0.8868348124
93	0.878289497
94	0.8696618839
95	0.8607061376
96	0.8523667507
97	0.8443355834
98	0.837284568
99	0.8303589932
100	0.8240655803
101	0.8164808507
102	0.809437122
103	0.8029040616
104	0.7951624895
105	0.7886584545
106	0.7818428332
107	0.7756553496
108	0.7679697579
109	0.7617064894
110	0.7533276665
111	0.7466117943
112	0.7403273329
113	0.7337387017
114	0.7282179092
115	0.7215621237
116	0.717230995
117	0.7115961756
118	0.7062079516
119	0.7010162802
120	0.693953744
121	0.686690626
122	0.6814162583
123	0.6767317865
124	0.6708289155
125	0.6667508615
126	0.6612355923
127	0.6558535559
128	0.6508632993
129	0.6452725917
130	0.6406198669
131	0.6353708619
132	0.6311819084
133	0.6279789803
134	0.6232084846
135	0.6180354076
136	0.6128793301
137	0.6078380155
138	0.6042584922
139	0.5990344885
140	0.5944134899
141	0.5906239739
142	0.5870364213
143	0.5823429273
144	0.5779463266
145	0.5748013134
146	0.5706374915
147	0.5670427251
148	0.5626862296
149	0.5585987549
150	0.554880017
151	0.5516310902
152	0.5490150594
153	0.5450135297
154	0.5423074811
155	0.5394787605
156	0.5357217608
157	0.5318452369
158	0.5281549959
159	0.5241650753
160	0.5211518199
161	0.5176022863
162	0.5138517939
163	0.509865987
164	0.507006108
165	0.5040703228
166	0.5005340436
167	0.4984247745
168	0.4959374492
169	0.4931448527
170	0.4903104846
171	0.4868920382
172	0.4836277773
173	0.4810630453
174	0.478646277
175	0.476606783
176	0.473187368
177	0.4712219898
178	0.4685412079
179	0.4658237413
180	0.4630468004
181	0.4598495793
182	0.4571255723
183	0.4548551243
184	0.4524086635
185	0.4493901791
186	0.4471132593
187	0.4437560516
188	0.4406093607
189	0.4379395294
190	0.4359169968
191	0.4338114668
192	0.4313889715
193	0.4284190427
194	0.4271058006
195	0.4251692912
196	0.4237173567
197	0.4212554895
198	0.4192320489
199	0.4164461854
200	0.4145357051
201	0.411961742
202	0.4094983288
203	0.4075593738
204	0.4047931982
205	0.4026618116
206	0.4002043101
207	0.3976142308
208	0.3953815933
209	0.3936859956
210	0.3914605323
211	0.3893733496
212	0.3870753662
213	0.384798326
214	0.3827494883
215	0.3809058081
216	0.3788495418
217	0.3766388812
218	0.3742301168
219	0.3718929514
220	0.3701097875
221	0.367902637
222	0.3659357223
223	0.3641265644
224	0.3620287077
225	0.3606793129
226	0.3589295119
227	0.3572166263
228	0.3560814836
229	0.3538698188
230	0.3519956954
231	0.3498890123
232	0.3477437657
233	0.346232491
234	0.344124456
235	0.3422860753
236	0.340837624
237	0.339189369
238	0.3376518709
239	0.3362934361
240	0.3345422398
241	0.3327082192
242	0.3310732284
243	0.3291347837
244	0.3274059295
245	0.3257858186
246	0.3241564419
247	0.3228924381
248	0.3209137469
249	0.3194769701
250	0.3181207537
251	0.3171290929
252	0.3156060972
253	0.3142451173
254	0.3128588273
255	0.3118960034
256	0.3105344188
257	0.3086899965
258	0.3076129727
259	0.3063818079
260	0.30525036
261	0.303804579
262	0.3023457993
263	0.3013017328
264	0.2999183809
265	0.298759201
266	0.297451597
267	0.2963386271
268	0.2951683764
269	0.2940850596
270	0.29269914
271	0.2915271163
272	0.2901908299
273	0.2888850609
274	0.2875651391
275	0.2865613767
276	0.2855956104
277	0.2842441776
278	0.2827948124
279	0.2817454286
280	0.2808063188
281	0.2797106639
282	0.278368621
283	0.2768818944
284	0.2758622745
285	0.2747926062
286	0.2736829813
287	0.2726894315
288	0.2714822407
289	0.2706923207
290	0.2698344621
291	0.2686389765
292	0.2672534853
293	0.2660903635
294	0.2653550006
295	0.264397509
296	0.2632189323
297	0.2618176979
298	0.2610253101
299	0.2597012887
300	0.2586619595
301	0.25799818
302	0.2570008618
303	0.2561560125
304	0.2553364363
305	0.2542422535
306	0.2530474961
307	0.2517778613
308	0.2506113847
309	0.250056627
310	0.2493833048
311	0.2483812671
312	0.2475593627
313	0.2467144729
314	0.2457602247
315	0.244591652
316	0.2435273195
317	0.2423571305
318	0.2414128855
319	0.240503546
320	0.239717001
321	0.2388467187
322	0.2378520337
323	0.2366788815
324	0.2359565129
325	0.234913261
326	0.2337262708
327	0.2327501759
328	0.2315988209
329	0.2307178878
330	0.2296396884
331	0.2290140897
332	0.2281200922
333	0.2275068766
334	0.2266107557
335	0.2255777133
336	0.224743746
337	0.2242288248
338	0.2233626234
339	0.2224798035
340	0.2218550892
341	0.2210025298
342	0.2203562411
343	0.2193400507
344	0.2186852498
345	0.2179655636
346	0.2171307689
347	0.2162363067
348	0.2151139992
349	0.2141302491
350	0.2133118744
351	0.2127518941
352	0.212088661
353	0.2110992232
354	0.2105894719
355	0.2101244635
356	0.209416659
357	0.2086026604
358	0.2077917377
359	0.2069413918
360	0.2061683853
361	0.205327742
362	0.204815219
363	0.2040457841
364	0.2035908469
365	0.2027056614
366	0.2018714524
367	0.2011163458
368	0.2003947619
369	0.1995690514
370	0.1987721401
371	0.1981538764
372	0.1973731059
373	0.1966728622
374	0.1958899211
375	0.1951301198
376	0.1945463187
377	0.1940349296
378	0.1934205115
379	0.192823798
380	0.1920643451
381	0.1912343178
382	0.1907249242
383	0.1900253889
384	0.1894557331
385	0.1890272485
386	0.1883762643
387	0.1877116299
388	0.1869535047
389	0.1861084638
390	0.1854537019
391	0.1850569664
392	0.1844041099
393	0.1838487754
394	0.1833861616
395	0.1825491876
396	0.181984759
397	0.1814359904
398	0.1808229844
399	0.180173281
400	0.1796931437
401	0.1788926885
402	0.1783629714
403	0.1780440217
404	0.1773335104
405	0.1767020565
406	0.1762533724
407	0.1758292126
408	0.1751523398
409	0.1745437122
410	0.1738048889
411	0.1731304276
412	0.1725912377
413	0.171891282
414	0.1714585153
415	0.1710616281
416	0.1703916065
417	0.1696972585
418	0.1692137161
419	0.1687261013
420	0.1681371459
421	0.1674582796
422	0.1668960697
423	0.1663098296
424	0.1658495093
425	0.1652540287
426	0.1649112414
427	0.1642646605
428	0.1635643928
429	0.163166585
430	0.1626608002
431	0.1621688902
432	0.1617124107
433	0.1612298776
434	0.1607682636
435	0.1602710957
436	0.1597878766
437	0.159232131
438	0.1586539651
439	0.1581503426
440	0.1575674836
441	0.1572358033
442	0.1566670886
443	0.1561190515
444	0.1556256293
445	0.1550737244
446	0.1545806569
447	0.154170788
448	0.1536878703
449	0.1532147675
450	0.1529007938
451	0.1524500516
452	0.151901274
453	0.151563644
454	0.1512119226
455	0.1506427687
456	0.1503641093
457	0.1498106631
458	0.149383332
459	0.1488149457
460	0.1483692231
461	0.1478216051
462	0.1474016971
463	0.1470768127
464	0.1465385998
465	0.1461077849
466	0.1455600724
467	0.1451604316
468	0.1446386933
469	0.1442299192
470	0.1437723049
471	0.1432757894
472	0.1428151835
473	0.142428292
474	0.1420495728
475	0.1417396141
476	0.1413870664
477	0.1408055468
478	0.1404646265
479	0.1400756875
480	0.1397518635
481	0.1394700389
482	0.1389457526
483	0.138587599
484	0.1381580331
485	0.1377620544
486	0.1372713422
487	0.1368611871
488	0.1364408008
489	0.136078761
490	0.1356118651
491	0.1352910691
492	0.1348535954
493	0.1344107944
494	0.134195383
495	0.1338413302
496	0.133492305
497	0.1331286114
498	0.132730652
499	0.1324374896
500	0.1319816871
501	0.1317070837
502	0.1313414649
503	0.1309877948
504	0.1305724493
505	0.1302796604
506	0.1299885938
507	0.1296969036
508	0.1293691414
509	0.1291191679
510	0.1286714227
511	0.1283151279
512	0.1278560645
513	0.1275787895
514	0.1272441682
515	0.1270071
516	0.1267492528
517	0.1263732384
518	0.1258944858
519	0.1255187606
520	0.1250635095
521	0.124598467
522	0.1242501864
523	0.123911959
524	0.1235175608
525	0.1231720355
526	0.1228909637
527	0.1225124474
528	0.1222107808
529	0.1217621372
530	0.12139156
531	0.1211378037
532	0.1207609125
533	0.1203798284
534	0.1200707606
535	0.1196812881
536	0.1193583543
537	0.1191138286
538	0.1188956094
539	0.1184939788
540	0.1182114352
541	0.1178714376
542	0.1176169552
543	0.1173130297
544	0.1169494741
545	0.1166275898
546	0.1163375585
547	0.1160149119
548	0.1157519156
549	0.1154287742
550	0.1151984404
551	0.114860074
552	0.1145218028
553	0.1141925512
554	0.1138394979
555	0.1135494836
556	0.1132146966
557	0.1129213738
558	0.1126422741
559	0.1123375444
560	0.1121500779
561	0.1117979956
562	0.1114878834
563	0.1112566925
564	0.111007781
565	0.1106850388
566	0.1103045284
567	0.1100347182
568	0.1097579102
569	0.1094677249
570	0.1092003169
571	0.1089900275
572	0.1086969562
573	0.1084247253
574	0.1081546495
575	0.1077748083
576	0.1075247329
577	0.1072607829
578	0.1071128505
579	0.10688165
580	0.1065928145
581	0.1063218046
582	0.10600039
583	0.1057859352
584	0.1055116897
585	0.1052517535
586	0.1050349774
587	0.1048276702
588	0.1045295188
589	0.1042206355
590	0.1039085755
591	0.1036658212
592	0.1033913257
593	0.1031890162
594	0.1030394681
595	0.102843443
