iter	Passed	Remaining
0	222	266180
1	374	224310
2	538	214821
3	709	212051
4	871	208269
5	1031	205176
6	1191	203083
7	1358	202350
8	1537	203493
9	1709	203445
10	1882	203480
11	2193	217183
12	2370	216469
13	2546	215753
14	2716	214603
15	2887	213653
16	3059	212915
17	3227	211948
18	3402	211485
19	3588	211717
20	3767	211511
21	3951	211585
22	4134	211559
23	4312	211289
24	4485	210838
25	4656	210277
26	4843	210416
27	5088	212991
28	5255	212229
29	5422	211490
30	5586	210646
31	5766	210483
32	5920	209381
33	6091	208914
34	6291	209422
35	6474	209352
36	6641	208755
37	6804	208064
38	6992	208154
39	7160	207643
40	7319	206907
41	7488	206476
42	7666	206290
43	7822	205526
44	7986	204986
45	8150	204463
46	8323	204195
47	8501	204042
48	8668	203622
49	8840	203328
50	9011	203025
51	9166	202374
52	9324	201802
53	9483	201265
54	9655	201002
55	9826	200736
56	10052	201581
57	10219	201218
58	10380	200757
59	10540	200266
60	10707	199937
61	10870	199529
62	11035	199162
63	11195	198723
64	11351	198221
65	11501	197613
66	11667	197300
67	11832	196984
68	11998	196669
69	12157	196256
70	12319	195900
71	12477	195485
72	12625	194912
73	12794	194684
74	12954	194313
75	13173	194824
76	13332	194451
77	13491	194073
78	13656	193786
79	13853	193954
80	14018	193658
81	14178	193316
82	14342	193022
83	14504	192700
84	14661	192326
85	14822	192002
86	14989	191757
87	15145	191382
88	15312	191149
89	15474	190856
90	15636	190553
91	15798	190267
92	15960	189985
93	16120	189671
94	16279	189353
95	16444	189113
96	16600	188766
97	16760	188468
98	16923	188207
99	17079	187869
100	17238	187578
101	17395	187259
102	17555	186971
103	17713	186676
104	17876	186425
105	18026	186044
106	18180	185716
107	18344	185487
108	18505	185225
109	18663	184941
110	18820	184645
111	18980	184378
112	19137	184093
113	19294	183808
114	19455	183560
115	19625	183393
116	19779	183088
117	19936	182811
118	20097	182568
119	20254	182288
120	20454	182396
121	20622	182219
122	20776	181921
123	20929	181612
124	21094	181412
125	21253	181163
126	21417	180951
127	21578	180722
128	21735	180451
129	21889	180170
130	22046	179904
131	22210	179702
132	22364	179420
133	22521	179165
134	22675	178888
135	22834	178646
136	22994	178415
137	23140	178080
138	23299	177849
139	23459	177622
140	23611	177338
141	23773	177130
142	23937	176935
143	24095	176703
144	24252	176461
145	24413	176243
146	24576	176050
147	24742	175871
148	24899	175634
149	25171	176197
150	25348	176093
151	25536	176064
152	25713	175960
153	25884	175815
154	26057	175677
155	26220	175477
156	26380	175252
157	26535	175000
158	26686	174723
159	26836	174438
160	26999	174238
161	27158	174015
162	27322	173824
163	27479	173589
164	27638	173366
165	27800	173168
166	27960	172952
167	28117	172723
168	28273	172486
169	28438	172305
170	28598	172094
171	28875	172583
172	29060	172516
173	29219	172293
174	29396	172180
175	29594	172184
176	29873	172659
177	30045	172507
178	30204	172286
179	30371	172106
180	30536	171914
181	30691	171672
182	30858	171491
183	31038	171385
184	31196	171160
185	31350	170911
186	31505	170667
187	31655	170403
188	31817	170196
189	31967	169931
190	32301	170638
191	32459	170414
192	32614	170170
193	32775	169959
194	32966	169903
195	33131	169714
196	33289	169490
197	33455	169303
198	33626	169146
199	33920	169601
200	34086	169414
201	34252	169226
202	34418	169042
203	34580	168836
204	34748	168659
205	34904	168422
206	35062	168196
207	35223	167988
208	35383	167775
209	35543	167563
210	35712	167393
211	35878	167205
212	36029	166954
213	36196	166773
214	36356	166561
215	36516	166353
216	36672	166126
217	36825	165882
218	36983	165665
219	37138	165436
220	37289	165186
